"Datum";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse"
;" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse"
;" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Lufttemperatur";" Luftfeuchte relativ";" Luftdruck";" Windgeschwindigkeit skalar";" Globalstrahlung";" Regendauer";" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10"
;" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" T";" Hr";" p";" WVs";" StrGlo";" RainDur";" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10"
;" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1"
;" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" °C";" %Hr";" hPa";" m/s";" W/m2";" min";" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";"1";" ppb";" µg/m3";" µg/m3"
"17.01.2013";3.05;0.46;28.67;0;43.51;22;28.5;-3.2;84.96;960.22;1.2;20.65;874.57;4.79;0.67;26.6;0;58.29;77.41;31.52;33.55;0;41.39;14.7;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.01.2013";4.85;0.64;16.84;0;58.36;58.56;36.31;-4.12;81.43;955.64;2.04;37;66.25;6.22;0.79;12.79;0;68.68;101.78;39.96;29.68;0;39.52;10.91;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.01.2013";4.07;0.6;13.08;0;48.93;21.47;39.52;-2.72;81.31;944.12;1.92;27.13;319.15;4.98;0.74;10.71;0;56.53;45.45;40.42;22.62;0;43.32;7.14;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.01.2013";3.3;0.61;13.49;0;46.5;19.15;47.97;-0.7;86.13;941.74;1.42;31.64;36.97;4.2;0.71;15.31;0;52.43;32.38;48.03;22.76;0;41.34;7.57;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.01.2013";2.75;0.52;24.43;0;44.51;26.25;21.64;0.5;84.39;947.75;1.31;44.9;228.62;4.79;0.62;19.58;0;54.37;50.05;20.6;31.92;0;30.95;4.64;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.01.2013";3.15;0.49;45.83;0;55.03;33.17;16.68;2;82.46;953;1.35;42.75;176.43;4.71;0.61;32.68;0;66.97;68.42;19.03;52.18;0;34.93;3.35;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.01.2013";4;0.71;16.19;0;70.35;83.47;35.51;-0.73;84.8;954.61;1.85;109.97;0;4.21;0.85;14.14;0;84.75;135.69;37.52;50.44;0;37.44;12.34;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.01.2013";3.19;0.53;25.19;0;61.01;41.67;29.44;-0.6;79.12;957.5;1.53;7.67;0;3;0.55;29.22;0;66.22;60.33;31.9;41.11;0;" NaN";" NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"25.01.2013";3.71;0.6;30.33;0;53.56;33.01;46.84;-0.79;70.37;963.93;2.01;40.84;1.37;3;0.66;30.78;0;63.86;62.7;50.25;41.01;0;" NaN";" NaN";"NaN";"NaN";"NaN";"NaN";"NaN"
"26.01.2013";3.81;0.5;43.24;0;45.83;15.66;50.47;-1.7;70.23;962.1;1.41;74.77;0;4.44;0.62;35.16;0;58.32;36.29;50.08;46.01;0;37.06;3.72;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.01.2013";4.3;0.4;63.07;0;42.47;10.26;34.4;1.26;68.37;960.98;1.71;56.42;225.02;6.08;0.47;67.16;0;53.07;19.42;" NaN";79.24;0;27.59;1.72;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.01.2013";1.82;0.43;58.94;0;52.44;24.89;15.45;3.16;89.44;966.27;1.61;42.75;430.27;3.46;0.48;51.93;0;64.52;40.69;" NaN";66.22;0;33.03;2.93;"NaN";"NaN";"NaN";"NaN";"NaN"
"29.01.2013";1.48;0.26;73.67;0;23.85;4.1;15.15;5.76;72.29;970.57;3.48;22.59;528.25;2.38;0.31;75.84;0;32.71;16.42;10.32;80.68;0;17.17;1.15;"NaN";"NaN";"NaN";"NaN";"NaN"
"30.01.2013";1.17;0.2;76.46;0;15.28;3.25;8.76;10.48;75.1;968.92;4.48;39.74;348.22;1.96;0.24;77.68;0;23;13.06;5.94;75.87;0;11.14;1.93;"NaN";"NaN";"NaN";"NaN";"NaN"
"31.01.2013";1.06;0.24;74.48;0;20.94;8.56;11.26;8.92;57.82;971.66;4.29;88.27;46.53;2.52;0.28;76.98;0;27.18;22.39;8.76;75.86;0;12.56;1.93;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.02.2013";0.72;0.25;67.25;0;26.03;7.25;7.94;8.23;78.98;957.57;3.74;13.69;840.2;1.8;0.3;70.06;0;34.38;19.91;8.63;72.8;0;13.46;1.25;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.02.2013";1.14;0.26;71.01;0;20.67;4.68;6.92;4.76;79.59;951.2;2.49;27.42;541.01;1.89;0.37;70.75;0;34.72;24.76;10.12;70.29;0;11.71;1.37;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.02.2013";1.23;0.25;65.22;0;15.84;2.58;13.77;1.36;74.85;968.84;2.2;52.85;9.28;2.46;0.3;65.36;0;21.77;7.38;11.24;69.91;0;10.49;1.04;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.02.2013";0.76;0.26;67.15;0;20.96;4.91;6.37;3.29;82.06;968.16;3.56;20.35;690.47;2.09;0.29;68.99;0;26.37;18.49;6.34;68.44;0;14.37;1.06;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.02.2013";0.7;0.23;80.03;0;20.19;5.3;" NaN";5.18;77.1;957.86;4.15;47.31;352.47;1.78;0.29;79.44;0;28.1;16.2;" NaN";78.42;0;11.46;1.16;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.02.2013";0.76;0.25;84.75;0;22.95;5.1;8.06;1.44;77.54;950.04;2.64;34.79;266.87;2.27;0.32;85.87;0;35.1;21.04;6.71;83.65;0;16.74;1.34;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.02.2013";1.35;0.31;54.93;0;30.96;7.84;13.92;0.35;83.81;959.72;1.98;28.75;504.98;3.26;0.38;55.18;0;43.24;35.15;14.39;61.1;0;24.58;3.08;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.02.2013";1.29;0.29;62.21;0;26.93;5.89;13.6;-0.05;79.55;962.17;1.89;51.92;313.43;3.23;0.34;63.11;0;38.58;21.91;13.22;65.73;0;20.13;1.64;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.02.2013";2.29;0.29;58.29;0;26.12;7.86;12.6;-1.49;78.96;965.5;1.29;65.69;375.85;3.43;0.38;65.29;0;40.68;24.18;15.96;67.63;0;15.3;1.19;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.02.2013";2.95;0.33;63.97;0;28.27;6.68;17.95;-3.21;71.51;960.43;1.8;126.58;0.32;4.02;0.4;58.99;0;38.93;14.87;23.81;72.15;0;15.58;0.96;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.02.2013";3.15;0.48;43.25;0;55.64;26.65;27.63;-2.39;80.36;949.62;1.87;62.87;288.32;3.5;0.58;41.73;0;71.71;71.5;29.39;56.78;0;42.22;7.11;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.02.2013";3.1;0.52;34.9;0;55.32;29.3;43.02;-2.13;82.6;956.72;1.59;29.2;455.35;3.5;0.58;35.11;0;65.51;56.47;43.79;59.43;0;29.97;2.39;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.02.2013";4.51;0.49;57.43;0;45.59;20.84;41.63;-1.92;69.45;968.76;2.13;57.37;0.65;4.05;0.55;49.85;0;56.56;42.19;45;68.68;0;24.34;2.04;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.02.2013";5.75;0.61;43.35;0;65.96;36.26;56.12;-2.94;73.13;969.53;1.48;100.46;18.67;6.21;0.65;39.81;0;76.83;60.9;54.53;61.09;0;37.36;7.88;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.02.2013";2.34;0.46;57.2;0;52.76;18.73;27.49;1.81;87.61;967.43;1.76;30.05;401.7;3.64;0.54;51.12;0;69.48;49.58;29.37;65.53;0;37.42;2.8;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.02.2013";3.57;0.43;48.7;0;48.33;15.43;21.89;2.53;83.74;971.52;1.47;67.88;0.78;4.34;0.54;44.58;0;59.94;44.05;24.73;65.63;0;20.99;1.74;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.02.2013";3.07;0.39;56.78;0;33.05;8.78;26.59;2.01;77.35;969.02;1.86;56.74;0;3.15;0.41;56.6;0;35.17;13.03;25.9;65.05;0;16.05;0.7;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.02.2013";2.83;0.46;58.84;0;41.79;19.99;29.71;1.94;68.79;967.26;2.1;134.34;0;3.28;0.54;53.45;0;55.23;39.61;34.04;77.65;0;21.92;1.8;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.02.2013";4.2;0.51;75.67;0;65;27.02;36.7;2.14;64.66;966;1.22;122.06;0.35;5.65;0.51;64.25;0;74.28;36.36;30.97;75.38;0;36.23;2.19;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.02.2013";2.54;0.39;62.71;0;35.98;16.73;22.11;1.47;75.04;965.34;2.71;50.22;259.87;2.95;0.43;57.03;0;47;30.1;21.88;66.05;0;20.62;1.63;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.02.2013";2.34;0.33;58.99;0;28.23;12.79;17.5;-1.7;65;962.42;3.79;43.86;0.6;2.56;0.39;58.02;0;38.67;26.71;19.73;61.11;0;15.16;0.63;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.02.2013";2.82;0.4;65.29;0;28.78;12.06;28.51;-3.61;67.53;956.42;4.14;72.27;0;3.03;0.42;64.8;0;34.64;19.52;29.23;67.64;0;17.2;0.98;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.02.2013";4.37;0.53;62.57;0;31.18;9.13;50.55;-3.67;69.18;955.9;2.55;48.24;54.52;4.35;0.58;61.22;0;40.09;19.22;53.06;77.08;0;17.53;0.84;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.02.2013";4.32;0.53;64.22;0;32.7;7.73;38.92;-2.95;76.41;959.76;1.21;58.04;217.25;4.08;0.61;64.04;0;43.92;19.47;41.81;80.79;0;18.59;0.97;"NaN";"NaN";"NaN";"NaN";"NaN"
"25.02.2013";4.94;0.68;74.06;0;62.26;31.22;54.89;-2.37;69.41;966.01;1.16;108.54;0;5.79;0.77;65.93;0;82;65.52;60.16;96.55;0;26.92;5.09;"NaN";"NaN";"NaN";"NaN";"NaN"
"26.02.2013";3.66;0.75;52.07;0;58.67;22.86;70.89;-0.84;75.14;972.17;1.57;75.53;0.98;4.19;0.77;52.86;0;69.78;38.5;72.53;72;0;31.97;1.68;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.02.2013";2.63;0.72;41.2;0;55;34.87;62.23;1.57;81.29;973.55;1.05;16.41;97.63;4.23;0.72;38.3;0;63.51;40.8;61.4;44.37;0;39.14;4.69;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.02.2013";3;0.65;11.85;0;52.45;45.98;36.14;2.42;83.12;971.91;1.51;31.17;53.42;3.97;0.74;13.77;0;66.88;82.13;41.55;31.84;0;34.9;5.84;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.03.2013";2.6;0.57;32.7;0;47.66;27.21;48.28;1.62;78.39;969.59;1.69;39.51;0;3.6;0.61;32.16;0;59.49;48.49;51.61;48.24;0;26.87;1.76;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.03.2013";1.99;0.41;33.71;0;32.4;11.43;26.07;0.98;77.39;970.2;2.02;21.7;4.45;2.59;0.44;35.13;0;42.18;21.82;30.4;39.79;0;23.02;1.2;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.03.2013";2.66;0.41;48.17;0;32.44;9.27;36.3;1.61;71.2;969.29;1.76;118.82;0;3.26;0.5;50.8;0;45.65;20.27;48.83;56.78;0;19.55;1.4;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.03.2013";3.91;0.61;40.14;0;64.27;41.93;59.49;1.64;75.66;966.65;1.24;125.02;0;5.62;0.7;27.86;0;81.88;78.1;62.37;55.69;0;34.53;5.26;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.03.2013";5.63;0.73;22.45;0;77.81;61.63;67.85;4.46;65.63;960.5;1.25;124.77;0;7.28;0.99;15.82;0;102.33;146.16;80.12;77.09;0;49.74;14.52;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.03.2013";6.33;0.74;30.28;0;87.53;66.46;55.17;7.8;59.06;951.86;1.65;110.03;0;7.92;0.99;18.74;0;105.63;137.3;64.2;85.88;0;31.25;4.1;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.03.2013";5;0.71;36.31;0;76.38;58.93;51.23;9.26;61.03;950.96;0.96;118.7;0.05;5.68;0.72;39.61;0;86.2;80.4;51.77;61.34;0;44.82;9.19;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.03.2013";3.31;0.49;72.38;0;51.2;31.06;32.64;9.16;70.8;950.89;1.95;125.54;381.27;4.02;0.55;71.58;0;60.8;55.82;31.68;77.95;0;17.37;4.44;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.03.2013";2.02;0.35;83.41;0;32.99;6.85;18.73;10.42;67.82;953.45;1.29;126.76;0;2.1;0.36;80.17;0;37.98;13.32;11.11;90.14;0;11.7;2.38;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.03.2013";1.99;0.32;84.41;0;24.64;4.11;16.96;9.5;65.52;950.4;1.32;122.93;58.3;2.18;0.38;81.92;0;36.78;13.4;11.66;87.38;0;11.07;2.08;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.03.2013";1.87;0.44;58.65;0;52.45;27.3;15.91;7.57;81.39;949;1.18;63.41;248.58;2.79;0.47;61.73;0;61.55;41.58;14.15;77.07;0;20.33;2.98;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.03.2013";1.25;0.42;50.64;0;39.03;26.4;21.68;6.17;79.22;946.67;1.72;105.51;3.55;1.38;0.48;43.71;0;50.08;44.21;25.48;61.55;0;20.19;8.17;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.03.2013";1.19;0.39;47.64;0;31.8;9.23;17.8;1.53;79.66;950.74;1.92;28.57;195.52;1.5;0.54;43.97;0;49.55;54.5;20.09;51.37;0;22.29;3.56;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.03.2013";2.42;0.39;75.75;0;39.06;17.01;23.49;-1.55;67.48;957.84;1.71;146.19;235.12;2.36;0.4;71.99;0;47.6;36.78;27.36;80.49;0;12.82;2.54;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.03.2013";2.37;0.34;65.61;0;40.14;13.55;28.28;-1.06;63.95;963.91;1.57;118.55;53.72;3.39;0.41;66.23;0;51.26;35.61;25.39;73.04;0;19.36;3.71;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.03.2013";4.25;0.37;68.23;0;45.53;11.59;20.16;1.85;49.12;962.13;1.23;178.24;0;4.76;0.44;64.24;0;53.58;23.05;21.3;79.86;0;15.71;2.22;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.03.2013";4.95;0.45;54.93;0;45.88;9.05;25.62;4.73;61.96;951.6;1.68;60.23;0.18;4.38;0.53;54.01;0;59.35;27.45;29.39;87.55;0;20.92;2.43;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.03.2013";1.47;0.35;78.23;0;38.75;15.39;12.06;4.56;81.96;945.21;1.57;41.12;576.27;1.61;0.42;80.02;0;55.8;48.68;13.54;81.52;0;21.23;2.78;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.03.2013";1.4;0.29;79.94;0;26.44;7.77;12.24;5.79;64.24;951.51;3.16;163.78;321.47;2.61;0.31;80.92;0;29.63;10.85;8.2;83.77;0;10.94;2.04;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.03.2013";2.05;0.3;88.45;0;30.36;10.21;14.22;5.97;64.87;955.57;2.64;89.85;99.45;2.77;0.34;92.04;0;37.11;22.81;12.24;91.14;0;15.27;2.96;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.03.2013";1.65;0.35;86.01;0;37.31;11.68;18.4;6.01;63.13;965.15;1.49;112.92;48.7;2.47;0.38;88.32;0;47.23;22.45;14.55;87.97;0;12.34;1.78;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.03.2013";2.36;0.39;71.72;0;42.6;16.87;24.2;7.76;56.58;960.25;2.89;207;0;2.32;0.44;74.02;0;49.64;33.05;26.31;91.41;0;16.16;3;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.03.2013";1.88;0.38;55.18;0;25.6;8.07;38.03;5;62.19;958.22;2.89;89.06;1.28;1.78;0.42;50.86;0;36.25;18.92;38.68;58.32;0;13.56;2.18;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.03.2013";1.71;0.38;59.33;0;19.33;6.03;46.9;2.27;66.04;955.96;3.31;84.23;0.22;1.73;0.42;57.35;0;25.64;10.25;43.95;63.87;0;9.78;1.53;"NaN";"NaN";"NaN";"NaN";"NaN"
"25.03.2013";1.45;0.46;59.29;0;37.21;19.08;42.42;0.77;80.59;955.04;2.63;69.12;26.77;1.58;0.5;57.52;0;44.66;34.07;41.15;61.47;0;17.86;2.52;"NaN";"NaN";"NaN";"NaN";"NaN"
"26.03.2013";1.59;0.45;60.55;0;43.82;21.56;38.05;-0.83;82.29;955.35;2.37;88.82;38.19;1.73;0.48;69.64;0;50.67;38.26;38.94;78.41;0;17.85;2.93;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.03.2013";2.45;0.49;61.55;0;46.21;19.7;56.02;0.5;71.48;955.8;2.38;144.6;1.29;2.27;0.53;61.03;0;58.88;38.78;60.83;71.9;0;23.01;3.43;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.03.2013";2.31;0.63;45.23;0;62.92;49.38;62.69;2.37;88.07;955.6;1.36;45.13;979.07;3.09;0.78;38.94;0;84.04;98;64.04;48.08;0;45.09;15.7;"NaN";"NaN";"NaN";"NaN";"NaN"
"29.03.2013";1.69;0.38;74.52;0;32.21;6.35;38.05;2.29;78.38;956.45;1;59.18;641.03;1.96;0.4;71.43;0;38.18;7.84;36.72;75.24;0;21.84;2.14;"NaN";"NaN";"NaN";"NaN";"NaN"
"30.03.2013";1.93;0.48;41.95;0;45.3;10.98;26.01;2.92;91.45;952.01;1.18;42.78;759.92;2.29;0.59;36.42;0;62.13;35.6;24.4;44.15;0;28.02;4.72;"NaN";"NaN";"NaN";"NaN";"NaN"
"31.03.2013";1.66;0.41;67.64;0;25.53;4.99;54.07;2.05;87.13;956.05;1.62;54.02;503.67;1.85;0.5;66.61;0;39.75;15.05;54.28;80.52;0;13.57;2.07;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.04.2013";1.82;0.35;100;0;17.28;3.72;38.65;2.87;67.8;954.02;3.11;203.28;0;1.93;0.38;99.81;0;26.49;7.88;39.06;106.91;0;8.7;1.44;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.04.2013";1.87;0.43;79;0;38.93;16.52;37.4;2.74;68.76;954.49;2.48;79.08;0;1.8;0.46;73.43;0;50.54;33.5;41.17;79.91;0;16.93;1.94;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.04.2013";1.91;0.45;74.46;0;37.47;15.37;38.54;3.99;67.2;957.79;2.65;68.59;0;1.84;0.47;71.1;0;45.85;30.88;38.94;79.28;0;15.89;1.84;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.04.2013";2.13;0.44;73.91;0;36.89;15;45.84;5.46;65.43;954.59;2.61;157.71;0;1.84;0.5;69.66;0;47.99;36.49;46.32;73.7;0;18.53;2.6;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.04.2013";1.85;0.52;57.6;0;40.62;19.43;62.33;3.92;73.83;954.27;1.83;40.08;0;1.8;0.58;57.83;0;53.27;47.49;61.84;67.07;0;20.04;2.38;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.04.2013";2.22;0.45;66.85;0;31.38;13.48;56.92;5.47;64.41;962.65;2.24;108.84;0;2.02;0.5;64.8;0;39.66;18.35;57.39;76.52;0;13.09;1.84;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.04.2013";1.96;0.39;73.77;0;22.96;7.15;33.41;4.68;62.74;965.43;2.27;80.22;0;1.85;0.43;67.72;0;30.57;12.12;34.06;78.18;0;8.63;1.31;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.04.2013";2.13;0.46;54.09;0;37.18;16.54;36.59;4.42;75.58;956.24;1.39;87.02;219.3;2.48;0.5;57.73;0;50.66;37.94;32.54;57;0;21.42;4.57;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.04.2013";1.34;0.3;88.84;0;27.63;8.13;11.77;7.06;77.41;954.85;2.48;106.07;485.05;2;0.35;87.08;0;42.12;21.88;9.36;88.01;0;15;2.93;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.04.2013";1.3;0.23;88.87;0;19.91;4.02;13.39;10.33;54.18;959.89;3.86;144.25;20.8;2.14;0.26;85.56;0;28.27;11.3;10.63;89.76;0;7.58;1.82;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.04.2013";1.59;0.34;67.16;0;36.89;15.11;13.39;11.46;78.36;956.67;1.96;131.76;626.1;1.96;0.34;67.58;0;42.7;20.62;11.76;77.77;0;14.71;3.01;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.04.2013";0.87;0.21;86.71;0;12.87;2.59;6.11;10.27;69.69;959.45;3.83;124.14;284.08;1.5;0.24;90.05;0;20.91;11.57;6.49;88.91;0;5.81;1.98;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.04.2013";1.34;0.26;95.95;0;20.12;4.08;9.04;11.39;58.25;970.15;2.11;179.86;98.38;2.28;0.31;95.56;0;27.29;9.32;9.04;95.99;0;4.63;1.51;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.04.2013";1.85;0.33;94.31;0;28.73;6.08;13.08;15.49;47.78;973.74;1.32;269.62;0;2.74;0.39;95.19;0;34.91;9.32;12.8;107.6;0;5.09;1.62;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.04.2013";2.11;0.41;111.78;0;42.65;15.46;21.94;17.35;47.68;970.67;1.32;264.99;0;3.1;0.41;105.59;0;49.59;24.94;19.19;116.28;0;9.01;2.31;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.04.2013";1.79;0.34;104.66;0;36.6;11.68;24.14;18.05;51.74;970.82;1.19;209.09;43.55;2.51;0.41;100.83;0;51.62;29.07;24.05;114.9;0;11.37;2.49;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.04.2013";1.58;0.44;109.42;0;61.22;27.87;29.79;19.05;52.41;971.57;1.3;258.06;0;2.23;0.4;105.01;0;52.03;24.04;26.58;130.58;5;10.22;2.5;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.04.2013";1.51;0.3;111.54;0;24.5;7.56;23.69;18.52;52.41;969.32;2.49;215.39;100.97;1.96;0.35;106.82;0;40.85;21.47;25.43;118.27;0;7.95;1.56;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.04.2013";0.7;0.33;84.81;0;39.32;17.95;11.38;8.69;85.36;972.8;1.48;27.89;1409.72;1.39;0.36;77.24;0;48.48;34.33;14.14;92.02;0;6.27;1.2;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.04.2013";1.04;0.35;71.43;0;39.2;13.9;6.03;4.11;92.67;969.51;1.04;38.34;1095.78;1.54;0.41;68.99;0;47.44;25.63;8.31;82.61;0;13.08;2.16;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.04.2013";0.88;0.32;45.86;0;21.46;4.9;14.34;7.96;89.83;966.91;1.08;43.75;622.93;1.8;0.36;49.92;0;25.78;9.73;12.61;52.13;0;12.42;2;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.04.2013";1.12;0.38;40.94;0;33.68;15.44;21.71;9.95;79.83;966.86;0.93;80.56;222.47;2.13;0.45;43.96;0;46.03;35.97;24.87;60.12;0;16.72;2.56;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.04.2013";1.84;0.41;81.19;0;40.08;23.28;27.62;11.82;70.21;971.67;0.81;181.55;0;" NaN";" NaN";" NaN";" NaN";" NaN";" NaN";" NaN";91.05;0;19.61;4.73;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.04.2013";2.11;0.46;114.56;0;45.21;25.12;27.96;14.97;59.19;975.42;1.14;284.05;0;3.55;0.5;107.11;0;53.37;39.14;25.38;122.67;1;16.93;6;"NaN";"NaN";"NaN";"NaN";"NaN"
